,task_lang,transfer_lang,accuracy,f1_score,transfer_language,genetic,geographic,syntactic,inventory,phonological,featural
0,arif1239,stan1293,0.2702702702702703,0.262160301223008,eng,1.0,0.5428800200270782,0.6707,1.3375,1.2006,0.8158
1,amel1241,stan1293,0.205607476635514,0.142536564760547,eng,1.0,0.5428800200270782,0.573,0.5375,0.276,0.6064
2,abau1245,stan1293,0.2342342342342342,0.2011792999170278,eng,1.0,0.5428800200270782,0.5577,0.5716,0.7298,0.5807
3,anem1248,stan1293,0.2095238095238095,0.1739353856020522,eng,1.0,0.5428800200270782,0.6843,1.3375,1.2006,0.823
4,ambu1247,stan1293,0.1636363636363636,0.1027831656545515,eng,1.0,0.5428800200270782,0.5287,0.5375,0.6044,0.5475
5,agar1252,stan1293,0.1711711711711711,0.1293626960293626,eng,1.0,0.5428800200270782,0.6368,1.3375,1.2006,0.7982
6,cent2084,stan1293,0.287037037037037,0.2148773127033996,eng,1.0,0.44782287281812805,0.4305,1.3375,1.2006,0.662
7,agua1253,stan1293,0.1711711711711711,0.1370613196828219,eng,1.0,0.5713704934608786,0.4885,0.6128,0.6022,0.4925
8,anga1290,stan1293,0.1801801801801801,0.091055341055341,eng,1.0,0.5428800200270782,0.5442,0.529,0.5303,0.5491
9,east2379,stan1293,0.2,0.1748141351402221,eng,1.0,0.583795790902294,0.5022,0.5366,0.4326,0.5237
10,achi1256,stan1293,0.1801801801801801,0.0986187296866908,eng,1.0,0.49786935220917133,0.5014,1.3375,1.2006,0.6968
11,anka1246,stan1293,0.1081081081081081,0.0518890984007263,eng,1.0,0.5428800200270782,0.6843,1.3375,1.2006,0.823
12,achu1248,stan1293,0.2636363636363636,0.2048999507064023,eng,1.0,0.5506400813317914,0.4476,0.5184,0.6529,0.4534
13,agut1237,stan1293,0.2612612612612612,0.2121046107532594,eng,1.0,0.44782287281812805,0.4831,1.3375,1.2006,0.6789
14,inab1237,stan1293,0.3063063063063063,0.2677656795022811,eng,1.0,0.44782287281812805,0.6843,1.3375,1.2006,0.823
15,agua1252,stan1293,0.2,0.1349934123847167,eng,1.0,0.49786935220917133,0.6707,1.3375,1.15,0.8134
16,ango1254,stan1293,0.1801801801801801,0.1181655938217749,eng,1.0,0.5428800200270782,0.6036,1.3375,1.2006,0.783
17,amar1273,stan1293,0.1666666666666666,0.1075258912744664,eng,1.0,0.48444160884135307,0.6843,1.3375,1.2006,0.823
18,sain1246,stan1293,0.2432432432432432,0.2002222561544595,eng,0.9386000037193298,0.3309597459422684,0.6843,1.3375,1.2006,0.823
19,east2379,stan1288,0.2545454545454545,0.1820050387886951,spa,1.0,0.7427864554303816,0.4419,0.5424,0.6527,0.4734
20,amel1241,stan1288,0.2616822429906542,0.1469751439313916,spa,1.0,0.7068400442786124,0.3054,0.5329,0.4685,0.2944
21,agut1237,stan1288,0.3063063063063063,0.2427613435520118,spa,1.0,0.7505253534579264,0.5222,1.2476,1.3012,0.7039
22,achi1256,stan1288,0.2882882882882883,0.187057687057687,spa,1.0,0.19041825367991339,0.5506,1.2476,1.3012,0.7213
23,anga1290,stan1288,0.1621621621621621,0.0948529814509196,spa,1.0,0.7068400442786124,0.5237,0.5002,0.6946,0.5525
24,abau1245,stan1288,0.2792792792792792,0.2007354948531419,spa,1.0,0.7068400442786124,0.4825,0.4562,0.8706,0.5001
25,ango1254,stan1288,0.2252252252252252,0.1670054022995199,spa,1.0,0.7068400442786124,0.3485,1.2476,1.3012,0.531
26,achu1248,stan1288,0.2545454545454545,0.1399923605805958,spa,1.0,0.19167321395875925,0.5339,0.5096,0.7583,0.6002
27,anem1248,stan1288,0.1619047619047619,0.0940402697902045,spa,1.0,0.7068400442786124,0.4606,1.2476,1.3012,0.58
28,anka1246,stan1288,0.1891891891891892,0.1058075656475917,spa,1.0,0.7068400442786124,0.4606,1.2476,1.3012,0.58
29,arif1239,stan1288,0.2522522522522522,0.1060190625408016,spa,1.0,0.7068400442786124,0.4387,1.2476,1.3012,0.5693
30,ambu1247,stan1288,0.1818181818181818,0.1278789860025558,spa,1.0,0.7068400442786124,0.4433,0.4338,0.7634,0.4767
31,cent2084,stan1288,0.25,0.1384884228920926,spa,1.0,0.7505253534579264,0.52,1.2476,1.3012,0.7035
32,agua1253,stan1288,0.2612612612612612,0.1242690058479532,spa,1.0,0.21766778151127042,0.5622,0.5894,0.7829,0.6159
33,sain1246,stan1288,0.2792792792792792,0.173654107720668,spa,0.460099995136261,0.21776030878667132,0.4606,1.2476,1.3012,0.58
34,agar1252,stan1288,0.2612612612612612,0.1245318045318045,spa,1.0,0.7068400442786124,0.3964,1.2476,1.3012,0.5498
35,inab1237,stan1288,0.2342342342342342,0.19437170089344,spa,1.0,0.7505253534579264,0.4606,1.2476,1.3012,0.58
36,amar1273,stan1288,0.287037037037037,0.1854199026612819,spa,1.0,0.7899759060749157,0.4606,1.2476,1.3012,0.58
37,agua1252,stan1288,0.209090909090909,0.1365418894830659,spa,1.0,0.19041825367991339,0.4364,1.2476,1.2809,0.5659
38,abau1245,stan1295,0.2162162162162162,0.133675349205979,deu,1.0,0.6725621960973254,0.4595,0.5939,0.7771,0.4929
39,anga1290,stan1295,0.1441441441441441,0.0363197843512804,deu,1.0,0.6725621960973254,0.4905,0.5484,0.5996,0.5315
40,sain1246,stan1295,0.1621621621621621,0.0795795795795795,deu,0.9247999787330629,0.23429340933036802,0.4297,1.3198,1.2237,0.5873
41,ango1254,stan1295,0.1531531531531531,0.0537564661435629,deu,1.0,0.6725621960973254,0.3101,1.3198,1.2237,0.541
42,ambu1247,stan1295,0.2,0.1111259605746742,deu,1.0,0.6725621960973254,0.3879,0.5565,0.6561,0.4474
43,agut1237,stan1295,0.2432432432432432,0.1685394667850808,deu,1.0,0.5275968753037936,0.4931,1.3198,1.2237,0.7083
44,east2379,stan1295,0.1818181818181818,0.0952848321269373,deu,1.0,0.7222194242540498,0.3983,0.6349,0.5126,0.4517
45,arif1239,stan1295,0.2522522522522522,0.1365365365365365,deu,1.0,0.6725621960973254,0.3991,1.3198,1.2237,0.5735
46,amar1273,stan1295,0.2129629629629629,0.1388099976171616,deu,1.0,0.5699620490183913,0.4297,1.3198,1.2237,0.5873
47,agar1252,stan1295,0.2522522522522522,0.1325114893099464,deu,1.0,0.6725621960973254,0.3411,1.3198,1.2237,0.5497
48,amel1241,stan1295,0.1401869158878504,0.0703426791277258,deu,1.0,0.6725621960973254,0.2465,0.5372,0.3891,0.2586
49,achu1248,stan1295,0.1636363636363636,0.0974104683195592,deu,1.0,0.5052907691552011,0.5033,0.5372,0.7093,0.5805
50,anka1246,stan1295,0.1441441441441441,0.0363197843512804,deu,1.0,0.6725621960973254,0.4297,1.3198,1.2237,0.5873
51,cent2084,stan1295,0.2685185185185185,0.1583570750237417,deu,1.0,0.5275968753037936,0.5072,1.3198,1.2237,0.7167
52,inab1237,stan1295,0.2162162162162162,0.1379361516629876,deu,1.0,0.5275968753037936,0.4297,1.3198,1.2237,0.5873
53,agua1253,stan1295,0.1441441441441441,0.0783655083655083,deu,1.0,0.5171181843287418,0.5316,0.5971,0.615,0.5926
54,agua1252,stan1295,0.1545454545454545,0.0859634076615208,deu,1.0,0.46539055957081044,0.4039,1.3198,1.1755,0.5725
55,anem1248,stan1295,0.2666666666666666,0.1544444444444444,deu,1.0,0.6725621960973254,0.4297,1.3198,1.2237,0.5873
56,achi1256,stan1295,0.1531531531531531,0.0841749312337547,deu,1.0,0.46539055957081044,0.524,1.3198,1.2237,0.7263
57,amar1273,nucl1643,0.1851851851851851,0.0815152570638464,jpn,1.0,0.2489157212905042,0.6448,1.2827,1.3245,0.796
58,amel1241,nucl1643,0.1588785046728972,0.0604558383510029,jpn,1.0,0.2501059794812795,0.5083,0.4672,0.4935,0.5756
59,agua1253,nucl1643,0.1801801801801801,0.1298760150111501,jpn,1.0,0.7704670397705542,0.4565,0.5113,0.6787,0.4639
60,achi1256,nucl1643,0.1801801801801801,0.0681901211556384,jpn,1.0,0.6093972822395937,0.48,1.2827,1.3245,0.6719
61,cent2084,nucl1643,0.1759259259259259,0.0682773109243697,jpn,1.0,0.1662313301655135,0.4227,1.2827,1.3245,0.638
62,inab1237,nucl1643,0.2342342342342342,0.1272291448536659,jpn,1.0,0.1662313301655135,0.6448,1.2827,1.3245,0.796
63,east2379,nucl1643,0.2,0.121612972050352,jpn,1.0,0.3536470783460139,0.4506,0.5272,0.6128,0.4992
64,anka1246,nucl1643,0.1801801801801801,0.0877514877514877,jpn,1.0,0.2501059794812795,0.6448,1.2827,1.3245,0.796
65,abau1245,nucl1643,0.2252252252252252,0.1701578271143097,jpn,1.0,0.2501059794812795,0.5098,0.5091,0.8754,0.5448
66,anga1290,nucl1643,0.1531531531531531,0.0697482988540849,jpn,1.0,0.2501059794812795,0.4852,0.5253,0.5959,0.5092
67,agar1252,nucl1643,0.1711711711711711,0.0939218788681154,jpn,1.0,0.2501059794812795,0.5806,1.2827,1.3245,0.7627
68,ambu1247,nucl1643,0.1727272727272727,0.0965292092970478,jpn,1.0,0.2501059794812795,0.4533,0.5549,0.8116,0.5113
69,agut1237,nucl1643,0.2702702702702703,0.2229399985692214,jpn,1.0,0.1662313301655135,0.493,1.2827,1.3245,0.671
70,arif1239,nucl1643,0.2612612612612612,0.1958039672325386,jpn,1.0,0.2501059794812795,0.6229,1.2827,1.3245,0.7843
71,sain1246,nucl1643,0.1801801801801801,0.0894539146516765,jpn,1.0,0.6052572184198827,0.6448,1.2827,1.3245,0.796
72,anem1248,nucl1643,0.2761904761904762,0.2311573497830279,jpn,1.0,0.2501059794812795,0.6448,1.2827,1.3245,0.796
73,ango1254,nucl1643,0.1621621621621621,0.0853825372687265,jpn,1.0,0.2501059794812795,0.5542,1.2827,1.3245,0.7521
74,agua1252,nucl1643,0.1818181818181818,0.0713551569967624,jpn,1.0,0.6093972822395937,0.6285,1.2827,1.27,0.785
75,achu1248,nucl1643,0.1909090909090909,0.133200939507147,jpn,1.0,0.7422234044265639,0.3882,0.418,0.6667,0.3969
76,abau1245,stan1290,0.1981981981981982,0.0995656813838632,fra,1.0,0.7137146957994192,0.5532,0.5868,0.789,0.5802
77,sain1246,stan1290,0.2252252252252252,0.1463397231818284,fra,0.0001999999949475,0.2132088580091662,0.6489,1.3331,1.2677,0.813
78,achu1248,stan1290,0.1636363636363636,0.0485795454545454,fra,1.0,0.46733893374943286,0.4244,0.5327,0.6385,0.4375
79,agua1252,stan1290,0.1818181818181818,0.0700639498432601,fra,1.0,0.46488239609773885,0.6344,1.3331,1.2237,0.8033
80,amel1241,stan1290,0.205607476635514,0.1051329817197624,fra,1.0,0.7137146957994192,0.5298,0.5327,0.369,0.5904
81,amar1273,stan1290,0.2037037037037037,0.1166789204423612,fra,1.0,0.6022868276671031,0.6489,1.3331,1.2677,0.813
82,achi1256,stan1290,0.1801801801801801,0.0784909077592004,fra,1.0,0.46488239609773885,0.4612,1.3331,1.2677,0.6817
83,agar1252,stan1290,0.2072072072072072,0.1276172724448586,fra,1.0,0.7137146957994192,0.5964,1.3331,1.2677,0.7869
84,ango1254,stan1290,0.1711711711711711,0.0504225155387946,fra,1.0,0.7137146957994192,0.575,1.3331,1.2677,0.7791
85,cent2084,stan1290,0.1944444444444444,0.1210674658260551,fra,1.0,0.576134142637103,0.418,1.3331,1.2677,0.6614
86,agut1237,stan1290,0.2342342342342342,0.1545236681281562,fra,1.0,0.576134142637103,0.4497,1.3331,1.2677,0.6685
87,anka1246,stan1290,0.1711711711711711,0.0504225155387946,fra,1.0,0.7137146957994192,0.6489,1.3331,1.2677,0.813
88,anga1290,stan1290,0.1711711711711711,0.05003465003465,fra,1.0,0.7137146957994192,0.51,0.5435,0.623,0.5328
89,arif1239,stan1290,0.2342342342342342,0.1741464001917817,fra,1.0,0.7137146957994192,0.6344,1.3331,1.2677,0.8058
90,anem1248,stan1290,0.1809523809523809,0.0929693961952026,fra,1.0,0.7137146957994192,0.6489,1.3331,1.2677,0.813
91,inab1237,stan1290,0.2072072072072072,0.1229464758876523,fra,1.0,0.576134142637103,0.6489,1.3331,1.2677,0.813
92,agua1253,stan1290,0.1891891891891892,0.0837040677040677,fra,1.0,0.4788936431791643,0.4601,0.6283,0.5849,0.4742
93,east2379,stan1290,0.1818181818181818,0.0804618768328445,fra,1.0,0.7310889640692756,0.4919,0.5985,0.5433,0.5296
94,ambu1247,stan1290,0.1636363636363636,0.0736229287953425,fra,1.0,0.7137146957994192,0.5006,0.4933,0.6755,0.5314
95,agut1237,mand1415,0.3693693693693693,0.2833833833833833,cmn,1.0,0.16562499533408745,0.4699,1.3108,1.2832,0.6705
96,amar1273,mand1415,0.3148148148148148,0.2446152703505644,cmn,1.0,0.22403300519393682,0.6499,1.3108,1.2832,0.781
97,agua1253,mand1415,0.2792792792792792,0.1651651651651651,cmn,1.0,0.848548474023974,0.4601,0.6293,0.6685,0.4829
98,agua1252,mand1415,0.2363636363636363,0.1594885389053485,cmn,1.0,0.7020368656921542,0.628,1.3108,1.2364,0.7664
99,anga1290,mand1415,0.1801801801801801,0.0675453997304391,cmn,1.0,0.3190902265338196,0.5004,0.5383,0.4891,0.505
100,amel1241,mand1415,0.1869158878504672,0.1152899558962511,cmn,1.0,0.3190902265338196,0.5469,0.6034,0.3891,0.568
101,anem1248,mand1415,0.2285714285714285,0.1383116883116883,cmn,1.0,0.3190902265338196,0.6499,1.3108,1.2832,0.781
102,east2379,mand1415,0.2272727272727272,0.1689725596983661,cmn,1.0,0.37833809918079087,0.472,0.5239,0.5126,0.4912
103,sain1246,mand1415,0.2522522522522522,0.1808666321824216,cmn,1.0,0.5804532292026415,0.6499,1.3108,1.2832,0.781
104,achi1256,mand1415,0.3243243243243243,0.2559370787626655,cmn,1.0,0.7020368656921542,0.4687,1.3108,1.2832,0.6753
105,anka1246,mand1415,0.1711711711711711,0.05003465003465,cmn,1.0,0.3190902265338196,0.6499,1.3108,1.2832,0.781
106,ambu1247,mand1415,0.209090909090909,0.1229796618475863,cmn,1.0,0.3190902265338196,0.491,0.5466,0.6936,0.5203
107,cent2084,mand1415,0.3055555555555556,0.1848466981132075,cmn,1.0,0.16562499533408745,0.4124,1.3108,1.2832,0.6466
108,abau1245,mand1415,0.2792792792792792,0.1979066777901955,cmn,1.0,0.3190902265338196,0.5154,0.6052,0.8155,0.546
109,achu1248,mand1415,0.2272727272727272,0.1368539011065975,cmn,1.0,0.8234024272390549,0.3923,0.5267,0.7093,0.4242
110,ango1254,mand1415,0.1621621621621621,0.0711410498644541,cmn,1.0,0.3190902265338196,0.5723,1.3108,1.2832,0.7425
111,inab1237,mand1415,0.3333333333333333,0.2928024178024178,cmn,1.0,0.16562499533408745,0.6499,1.3108,1.2832,0.781
112,agar1252,mand1415,0.2612612612612612,0.1236984352773826,cmn,1.0,0.3190902265338196,0.5918,1.3108,1.2832,0.7501
113,arif1239,mand1415,0.2792792792792792,0.1763513165782735,cmn,1.0,0.3190902265338196,0.6261,1.3108,1.2832,0.7679
114,achi1256,ukra1253,0.1711711711711711,0.0662567329233995,ukr,1.0,0.5397680895805113,0.4286,1.2579,0.8723,0.6234
115,cent2084,ukra1253,0.1851851851851851,0.126255661075097,ukr,1.0,0.4528058896973313,0.3501,1.2579,0.8723,0.584
116,ango1254,ukra1253,0.1621621621621621,0.0509269600178691,ukr,1.0,0.6075367577030851,0.4982,1.2579,0.8723,0.6873
117,amar1273,ukra1253,0.1944444444444444,0.1260164299637984,ukr,1.0,0.4918159898688716,0.5965,1.2579,0.8723,0.7342
118,agut1237,ukra1253,0.2342342342342342,0.1656330126918362,ukr,1.0,0.4528058896973313,0.4357,1.2579,0.8723,0.6173
119,sain1246,ukra1253,0.1711711711711711,0.1164131850118644,ukr,0.9175999760627748,0.310495265506848,0.5965,1.2579,0.8723,0.7342
120,anka1246,ukra1253,0.1711711711711711,0.0516230516230516,ukr,1.0,0.6075367577030851,0.5965,1.2579,0.8723,0.7342
121,arif1239,ukra1253,0.2612612612612612,0.2026267993865682,ukr,1.0,0.6075367577030851,0.5752,1.2579,0.8723,0.7231
122,amel1241,ukra1253,0.1775700934579439,0.0657117702830827,ukr,1.0,0.6075367577030851,0.5138,0.4519,0.6036,0.5656
123,east2379,ukra1253,0.1545454545454545,0.062012987012987,ukr,1.0,0.6487067004703904,0.4625,0.5749,0.5566,0.5069
124,anem1248,ukra1253,0.2,0.0999255147603595,ukr,1.0,0.6075367577030851,0.5965,1.2579,0.8723,0.7342
125,agar1252,ukra1253,0.1351351351351351,0.081343779456987,ukr,1.0,0.6075367577030851,0.5259,1.2579,0.8723,0.6981
126,agua1253,ukra1253,0.1621621621621621,0.0735135135135135,ukr,1.0,0.5973959814036216,0.4557,0.5772,0.7416,0.4709
127,anga1290,ukra1253,0.1801801801801801,0.0739900230809321,ukr,1.0,0.6075367577030851,0.4866,0.5603,0.6782,0.5086
128,achu1248,ukra1253,0.1909090909090909,0.1027408321525968,ukr,1.0,0.5864796587982939,0.3697,0.524,0.7323,0.4061
129,ambu1247,ukra1253,0.1818181818181818,0.0842124123720576,ukr,1.0,0.6075367577030851,0.47,0.5009,0.1973,0.4779
130,inab1237,ukra1253,0.2342342342342342,0.171769707852182,ukr,1.0,0.4528058896973313,0.5965,1.2579,0.8723,0.7342
131,abau1245,ukra1253,0.1891891891891892,0.0846942002580399,ukr,1.0,0.6075367577030851,0.4837,0.5243,0.2875,0.4946
132,agua1252,ukra1253,0.209090909090909,0.1083773697566801,ukr,1.0,0.5397680895805113,0.5752,1.2579,0.8653,0.7225
133,agar1252,cebu1242,0.2432432432432432,0.1157458533802619,ceb,1.0,0.1597477695992498,0.3694,1.2148,0.8723,0.561
134,abau1245,cebu1242,0.2432432432432432,0.1037360890302066,ceb,1.0,0.1597477695992498,0.3255,0.4569,0.2875,0.3398
135,ambu1247,cebu1242,0.2545454545454545,0.1223513328776486,ceb,1.0,0.1597477695992498,0.3524,0.3971,0.1973,0.3441
136,sain1246,cebu1242,0.1981981981981982,0.1495600129746471,ceb,1.0,0.7333759445680647,0.3677,1.2148,0.8723,0.5566
137,cent2084,cebu1242,0.2962962962962963,0.1998331664998331,ceb,0.6935999989509583,0.000366309616699592,0.4714,1.2148,0.8723,0.6308
138,achi1256,cebu1242,0.2882882882882883,0.2499279260739362,ceb,1.0,0.7627038762071301,0.3679,1.2148,0.8723,0.5749
139,arif1239,cebu1242,0.3153153153153153,0.2014986391281459,ceb,0.7322999835014343,0.1597477695992498,0.3458,1.2148,0.8723,0.5478
140,ango1254,cebu1242,0.2612612612612612,0.1090154903104543,ceb,1.0,0.1597477695992498,0.3827,1.2148,0.8723,0.5713
141,anga1290,cebu1242,0.2612612612612612,0.1082368082368082,ceb,1.0,0.1597477695992498,0.3553,0.4155,0.6333,0.4135
142,agua1253,cebu1242,0.2612612612612612,0.1082368082368082,ceb,1.0,0.905653675142968,0.3485,0.4923,0.6953,0.4208
143,agua1252,cebu1242,0.2909090909090909,0.2183489166984962,ceb,1.0,0.7627038762071301,0.3375,1.2148,0.8378,0.5418
144,anka1246,cebu1242,0.2522522522522522,0.1052563354721628,ceb,1.0,0.1597477695992498,0.3677,1.2148,0.8723,0.5566
145,anem1248,cebu1242,0.2571428571428571,0.1093363329583802,ceb,1.0,0.1597477695992498,0.3677,1.2148,0.8723,0.5566
146,amar1273,cebu1242,0.287037037037037,0.2216382658088448,ceb,0.7322999835014343,0.0837708311478146,0.3677,1.2148,0.8723,0.5566
147,amel1241,cebu1242,0.2710280373831775,0.1513256042654821,ceb,1.0,0.1597477695992498,0.3956,0.3971,0.6482,0.4294
148,achu1248,cebu1242,0.2636363636363636,0.1108036890645586,ceb,1.0,0.8839881156488084,0.4123,0.3971,0.691,0.4532
149,agut1237,cebu1242,0.3153153153153153,0.2224630290668026,ceb,0.5803999900817871,0.000366309616699592,0.3716,1.2148,0.8723,0.5727
150,inab1237,cebu1242,0.3873873873873873,0.3535490000606279,ceb,0.6309999823570251,0.000366309616699592,0.3677,1.2148,0.8723,0.5566
151,east2379,cebu1242,0.2636363636363636,0.1108036890645586,ceb,1.0,0.21705897392175605,0.4309,0.4449,0.5065,0.4437
152,anem1248,egyp1253,0.238095238095238,0.0922849760059062,arz,1.0,0.6409278559982571,0.6027,1.3287,1.2677,0.7818
153,agar1252,egyp1253,0.2522522522522522,0.1435318451480904,arz,1.0,0.6409278559982571,0.5501,1.3287,1.2677,0.7571
154,abau1245,egyp1253,0.2252252252252252,0.1209852709852709,arz,1.0,0.6409278559982571,0.4836,0.5425,0.7521,0.5197
155,ango1254,egyp1253,0.2432432432432432,0.1213377218178418,arz,1.0,0.6409278559982571,0.4985,1.3287,1.2677,0.7355
